,Actual Total Load [MW] - Sweden (SE),Actual Total Load [MW] - Denmark (DK),Actual Total Load [MW] - Norway (NO)
2017-06-25 02:00:00+00:00,9666,2392,10330
2017-06-25 03:00:00+00:00,9584,2356,10297
2017-06-25 04:00:00+00:00,9525,2277,10237
2017-06-25 05:00:00+00:00,9508,2270,10232
2017-06-25 06:00:00+00:00,9866,2448,10307
2017-06-25 07:00:00+00:00,10286,2664,10487
2017-06-25 08:00:00+00:00,10912,2925,10884
2017-06-25 09:00:00+00:00,11482,3163,11246
2017-06-25 10:00:00+00:00,11559,3352,11615
2017-06-25 11:00:00+00:00,11907,3422,11702
2017-06-25 12:00:00+00:00,12140,3380,11654
2017-06-25 13:00:00+00:00,12055,3374,11651
2017-06-25 14:00:00+00:00,12027,3287,11498
2017-06-25 15:00:00+00:00,12171,3213,11565
2017-06-25 16:00:00+00:00,11951,3301,11635
2017-06-25 17:00:00+00:00,12138,3495,11627
2017-06-25 18:00:00+00:00,12041,3513,11735
2017-06-25 19:00:00+00:00,12087,3340,11801
2017-06-25 20:00:00+00:00,11977,3194,11869
2017-06-25 21:00:00+00:00,11765,3018,11853
2017-06-25 22:00:00+00:00,11671,2942,11732
2017-06-25 23:00:00+00:00,11190,2835,11304
2017-06-26 00:00:00+00:00,10897,2681,11032
2017-06-26 01:00:00+00:00,10459,2580,10696
2017-06-26 02:00:00+00:00,10249,2538,10507
2017-06-26 03:00:00+00:00,10231,2547,10412
2017-06-26 04:00:00+00:00,10178,2498,10379
2017-06-26 05:00:00+00:00,10798,2664,10697
2017-06-26 06:00:00+00:00,12228,3146,11635
2017-06-26 07:00:00+00:00,13824,3724,12722
2017-06-26 08:00:00+00:00,14400,4131,13234
2017-06-26 09:00:00+00:00,14663,4061,13293
2017-06-26 10:00:00+00:00,14729,4211,13391
2017-06-26 11:00:00+00:00,14736,4237,13330
2017-06-26 12:00:00+00:00,14444,4171,13227
2017-06-26 13:00:00+00:00,14639,4182,13152
2017-06-26 14:00:00+00:00,14370,4088,13052
2017-06-26 15:00:00+00:00,14149,3917,12976
2017-06-26 16:00:00+00:00,14077,3862,12871
2017-06-26 17:00:00+00:00,14058,4038,12817
2017-06-26 18:00:00+00:00,13717,3939,12606
2017-06-26 19:00:00+00:00,13501,3708,12632
2017-06-26 20:00:00+00:00,13254,3512,12600
2017-06-26 21:00:00+00:00,12991,3325,12479
2017-06-26 22:00:00+00:00,12387,3226,12234
2017-06-26 23:00:00+00:00,12123,3020,11919
2017-06-27 00:00:00+00:00,11575,2805,11429
2017-06-27 01:00:00+00:00,11163,2699,11171
2017-06-27 02:00:00+00:00,11080,2640,10908
2017-06-27 03:00:00+00:00,10924,2629,10824
2017-06-27 04:00:00+00:00,10730,2619,10777
2017-06-27 05:00:00+00:00,11514,2792,11116
2017-06-27 06:00:00+00:00,13220,3277,11986
2017-06-27 07:00:00+00:00,14430,3860,12938
2017-06-27 08:00:00+00:00,14726,4097,13396
2017-06-27 09:00:00+00:00,15020,4188,13421
2017-06-27 10:00:00+00:00,15144,4316,13419
2017-06-27 11:00:00+00:00,15468,4301,13375
2017-06-27 12:00:00+00:00,14805,4247,13279
2017-06-27 13:00:00+00:00,14795,4255,13150
2017-06-27 14:00:00+00:00,15069,4164,13158
2017-06-27 15:00:00+00:00,14971,3999,13112
2017-06-27 16:00:00+00:00,14592,3900,12929
2017-06-27 17:00:00+00:00,14942,4112,12815
2017-06-27 18:00:00+00:00,14670,4044,12708
2017-06-27 19:00:00+00:00,14272,3833,12614
2017-06-27 20:00:00+00:00,14002,3622,12487
2017-06-27 21:00:00+00:00,13442,3433,12352
2017-06-27 22:00:00+00:00,13037,3311,12010
2017-06-27 23:00:00+00:00,12439,3080,11855
2017-06-28 00:00:00+00:00,11504,2869,11399
2017-06-28 01:00:00+00:00,11179,2737,11103
2017-06-28 02:00:00+00:00,11139,2675,10952
2017-06-28 03:00:00+00:00,11006,2668,10931
2017-06-28 04:00:00+00:00,10963,2648,10816
2017-06-28 05:00:00+00:00,11404,2765,10960
2017-06-28 06:00:00+00:00,12892,3262,11754
2017-06-28 07:00:00+00:00,14177,3855,12773
2017-06-28 08:00:00+00:00,14922,4149,13046
2017-06-28 09:00:00+00:00,15183,4233,13173
2017-06-28 10:00:00+00:00,15226,4331,13160
2017-06-28 11:00:00+00:00,15224,4329,13084
2017-06-28 12:00:00+00:00,14899,4244,12977
2017-06-28 13:00:00+00:00,14853,4317,12882
2017-06-28 14:00:00+00:00,14699,4174,12945
2017-06-28 15:00:00+00:00,14370,3965,12830
2017-06-28 16:00:00+00:00,14144,3879,12751
2017-06-28 17:00:00+00:00,14303,4063,12608
2017-06-28 18:00:00+00:00,13873,3959,12571
2017-06-28 19:00:00+00:00,13569,3740,12489
2017-06-28 20:00:00+00:00,13368,3526,12488
2017-06-28 21:00:00+00:00,12946,3338,12214
2017-06-28 22:00:00+00:00,12472,3248,11966
2017-06-28 23:00:00+00:00,11796,3029,11677
2017-06-29 00:00:00+00:00,11452,2787,11102
2017-06-29 01:00:00+00:00,11260,2641,10801
2017-06-29 02:00:00+00:00,11108,2593,10681
2017-06-29 03:00:00+00:00,11010,2555,10566
2017-06-29 04:00:00+00:00,11143,2607,10451
2017-06-29 05:00:00+00:00,11556,2801,10733
2017-06-29 06:00:00+00:00,13122,3308,11670
2017-06-29 07:00:00+00:00,14326,3879,12638
2017-06-29 08:00:00+00:00,14849,4208,12973
2017-06-29 09:00:00+00:00,15054,4285,13125
2017-06-29 10:00:00+00:00,15243,4433,13128
2017-06-29 11:00:00+00:00,15130,4454,13125
2017-06-29 12:00:00+00:00,15243,4414,13125
2017-06-29 13:00:00+00:00,15088,4388,13026
2017-06-29 14:00:00+00:00,15031,4288,12981
2017-06-29 15:00:00+00:00,14780,4121,12867
2017-06-29 16:00:00+00:00,14727,4079,12828
2017-06-29 17:00:00+00:00,14859,4239,12741
2017-06-29 18:00:00+00:00,14200,4098,12491
2017-06-29 19:00:00+00:00,14021,3896,12448
2017-06-29 20:00:00+00:00,13978,3699,12366
2017-06-29 21:00:00+00:00,13535,3496,12197
2017-06-29 22:00:00+00:00,13155,3283,12029
2017-06-29 23:00:00+00:00,12113,2964,11679
2017-06-30 00:00:00+00:00,11488,2794,11216
2017-06-30 01:00:00+00:00,11135,2673,10814
2017-06-30 02:00:00+00:00,11068,2605,10574
2017-06-30 03:00:00+00:00,10810,2627,10421
2017-06-30 04:00:00+00:00,10797,2680,10270
2017-06-30 05:00:00+00:00,11383,2811,10516
2017-06-30 06:00:00+00:00,12871,3289,11295
2017-06-30 07:00:00+00:00,14174,3867,12257
2017-06-30 08:00:00+00:00,14733,4155,12859
2017-06-30 09:00:00+00:00,14744,4222,13015
2017-06-30 10:00:00+00:00,14864,4347,12975
2017-06-30 11:00:00+00:00,14963,4305,12952
2017-06-30 12:00:00+00:00,14833,4177,12852
2017-06-30 13:00:00+00:00,14450,4104,12683
2017-06-30 14:00:00+00:00,14094,4001,12491
2017-06-30 15:00:00+00:00,13893,3905,12418
2017-06-30 16:00:00+00:00,14030,3860,12278
2017-06-30 17:00:00+00:00,14197,4030,12042
2017-06-30 18:00:00+00:00,14017,3993,11966
2017-06-30 19:00:00+00:00,13484,3738,11783
2017-06-30 20:00:00+00:00,13000,3474,11546
2017-06-30 21:00:00+00:00,12626,3270,11381
2017-06-30 22:00:00+00:00,12227,3155,11153
2017-06-30 23:00:00+00:00,11606,2948,11147
2017-07-01 00:00:00+00:00,10983,2733,10827
2017-07-01 01:00:00+00:00,10499,2592,10402
2017-07-01 02:00:00+00:00,10391,2524,10193
2017-07-01 03:00:00+00:00,10197,2512,10112
2017-07-01 04:00:00+00:00,10024,2456,9905
2017-07-01 05:00:00+00:00,9987,2455,9892
2017-07-01 06:00:00+00:00,10589,2539,10153
2017-07-01 07:00:00+00:00,11305,2787,10530
2017-07-01 08:00:00+00:00,11968,3120,10927
2017-07-01 09:00:00+00:00,12448,3327,11283
2017-07-01 10:00:00+00:00,12490,3408,11621
2017-07-01 11:00:00+00:00,12757,3367,11681
2017-07-01 12:00:00+00:00,12694,3341,11647
2017-07-01 13:00:00+00:00,12644,3297,11562
2017-07-01 14:00:00+00:00,12411,3257,11452
2017-07-01 15:00:00+00:00,12272,3205,11413
2017-07-01 16:00:00+00:00,12220,3212,11388
2017-07-01 17:00:00+00:00,12536,3415,11475
2017-07-01 18:00:00+00:00,12343,3434,11435
2017-07-01 19:00:00+00:00,12119,3275,11357
2017-07-01 20:00:00+00:00,12016,3099,11284
2017-07-01 21:00:00+00:00,11471,2944,11148
2017-07-01 22:00:00+00:00,11099,2868,10951
2017-07-01 23:00:00+00:00,10552,2725,10846
2017-07-02 00:00:00+00:00,10009,2512,10570
2017-07-02 01:00:00+00:00,9866,2389,10129
2017-07-02 02:00:00+00:00,9647,2321,10085
2017-07-02 03:00:00+00:00,9609,2289,9988
2017-07-02 04:00:00+00:00,9245,2284,9655
2017-07-02 05:00:00+00:00,9302,2327,9542
2017-07-02 06:00:00+00:00,9725,2431,9682
2017-07-02 07:00:00+00:00,10250,2608,10241
2017-07-02 08:00:00+00:00,10780,2911,10428
2017-07-02 09:00:00+00:00,11595,3093,11092
2017-07-02 10:00:00+00:00,12000,3223,11234
2017-07-02 11:00:00+00:00,12280,3316,11387
2017-07-02 12:00:00+00:00,12185,3271,11476
2017-07-02 13:00:00+00:00,12162,3269,11479
2017-07-02 14:00:00+00:00,12328,3212,11379
2017-07-02 15:00:00+00:00,12373,3208,11337
2017-07-02 16:00:00+00:00,12415,3219,11179
2017-07-02 17:00:00+00:00,12599,3433,11359
2017-07-02 18:00:00+00:00,12733,3496,11593
2017-07-02 19:00:00+00:00,12740,3346,11643
2017-07-02 20:00:00+00:00,12539,3203,11512
2017-07-02 21:00:00+00:00,12092,3060,11361
2017-07-02 22:00:00+00:00,11844,2999,11226
2017-07-02 23:00:00+00:00,11583,2855,11076
2017-07-03 00:00:00+00:00,11227,2688,10429
2017-07-03 01:00:00+00:00,10932,2558,10276
2017-07-03 02:00:00+00:00,10854,2487,10198
2017-07-03 03:00:00+00:00,10793,2503,10190
2017-07-03 04:00:00+00:00,10648,2464,9926
2017-07-03 05:00:00+00:00,11049,2590,9995
2017-07-03 06:00:00+00:00,12417,3068,11051
2017-07-03 07:00:00+00:00,13861,3621,12135
2017-07-03 08:00:00+00:00,14350,3937,12504
2017-07-03 09:00:00+00:00,14587,4109,12788
2017-07-03 10:00:00+00:00,14996,4216,13014
2017-07-03 11:00:00+00:00,14927,4256,12979
2017-07-03 12:00:00+00:00,14924,4213,12896
2017-07-03 13:00:00+00:00,15021,4220,12973
2017-07-03 14:00:00+00:00,14711,4141,12867
2017-07-03 15:00:00+00:00,14701,3991,12761
2017-07-03 16:00:00+00:00,14487,4008,12635
2017-07-03 17:00:00+00:00,14669,4135,12507
2017-07-03 18:00:00+00:00,14612,4021,12422
2017-07-03 19:00:00+00:00,14125,3765,12366
2017-07-03 20:00:00+00:00,13876,3542,12258
2017-07-03 21:00:00+00:00,13349,3355,12097
2017-07-03 22:00:00+00:00,12653,3253,11912
2017-07-03 23:00:00+00:00,12130,3064,11711
2017-07-04 00:00:00+00:00,11290,2858,11328
2017-07-04 01:00:00+00:00,10910,2738,10947
2017-07-04 02:00:00+00:00,10618,2649,10829
2017-07-04 03:00:00+00:00,10403,2622,10756
2017-07-04 04:00:00+00:00,10247,2654,10582
2017-07-04 05:00:00+00:00,10703,2771,10749
2017-07-04 06:00:00+00:00,12070,3262,11612
2017-07-04 07:00:00+00:00,13571,3808,12534
2017-07-04 08:00:00+00:00,14279,4104,13020
2017-07-04 09:00:00+00:00,14798,4187,13227
2017-07-04 10:00:00+00:00,15041,4367,13395
2017-07-04 11:00:00+00:00,14916,4275,13248
2017-07-04 12:00:00+00:00,14782,4275,13170
2017-07-04 13:00:00+00:00,14905,4240,13166
2017-07-04 14:00:00+00:00,14792,4130,13132
2017-07-04 15:00:00+00:00,14451,3983,12963
2017-07-04 16:00:00+00:00,14153,3914,12883
2017-07-04 17:00:00+00:00,14376,4076,12703
2017-07-04 18:00:00+00:00,14089,3985,12599
2017-07-04 19:00:00+00:00,13787,3787,12567
2017-07-04 20:00:00+00:00,13728,3591,12361
2017-07-04 21:00:00+00:00,13585,3390,12289
2017-07-04 22:00:00+00:00,13103,3286,12030
2017-07-04 23:00:00+00:00,12305,3072,11779
2017-07-05 00:00:00+00:00,11456,2862,11311
2017-07-05 01:00:00+00:00,11038,2750,10900
2017-07-05 02:00:00+00:00,10790,2705,10753
2017-07-05 03:00:00+00:00,10721,2699,10823
2017-07-05 04:00:00+00:00,10684,2690,10701
2017-07-05 05:00:00+00:00,11358,2816,10745
2017-07-05 06:00:00+00:00,12781,3290,11456
2017-07-05 07:00:00+00:00,14080,3830,12315
2017-07-05 08:00:00+00:00,14661,4107,13042
2017-07-05 09:00:00+00:00,14962,4201,13008
2017-07-05 10:00:00+00:00,15218,4298,12990
2017-07-05 11:00:00+00:00,15275,4289,13097
2017-07-05 12:00:00+00:00,15046,4227,13048
2017-07-05 13:00:00+00:00,14811,4216,12994
2017-07-05 14:00:00+00:00,14565,4101,12843
2017-07-05 15:00:00+00:00,14591,3970,12669
2017-07-05 16:00:00+00:00,14499,3863,12602
2017-07-05 17:00:00+00:00,14578,4022,12541
2017-07-05 18:00:00+00:00,14393,3968,12435
2017-07-05 19:00:00+00:00,14382,3808,12473
2017-07-05 20:00:00+00:00,13987,3607,12236
2017-07-05 21:00:00+00:00,13721,3399,12197
2017-07-05 22:00:00+00:00,13114,3298,11944
2017-07-05 23:00:00+00:00,12584,3091,11801
2017-07-06 00:00:00+00:00,11618,2861,11388
2017-07-06 01:00:00+00:00,11163,2756,10994
2017-07-06 02:00:00+00:00,11111,2686,10836
2017-07-06 03:00:00+00:00,11085,2664,10772
2017-07-06 04:00:00+00:00,10936,2682,10661
2017-07-06 05:00:00+00:00,11487,2828,10862
2017-07-06 06:00:00+00:00,12838,3280,11603
2017-07-06 07:00:00+00:00,14299,3823,12449
2017-07-06 08:00:00+00:00,14966,4120,13024
2017-07-06 09:00:00+00:00,15134,4212,13002
2017-07-06 10:00:00+00:00,15198,4301,12919
2017-07-06 11:00:00+00:00,15245,4297,13186
2017-07-06 12:00:00+00:00,14947,4241,13113
2017-07-06 13:00:00+00:00,14809,4256,12992
2017-07-06 14:00:00+00:00,14547,4156,13035
2017-07-06 15:00:00+00:00,14570,4006,12875
2017-07-06 16:00:00+00:00,14154,3939,12845
2017-07-06 17:00:00+00:00,14444,4052,12654
2017-07-06 18:00:00+00:00,14083,3986,12666
2017-07-06 19:00:00+00:00,13817,3798,12488
2017-07-06 20:00:00+00:00,13488,3619,12252
2017-07-06 21:00:00+00:00,13052,3447,12170
2017-07-06 22:00:00+00:00,12754,3341,11995
2017-07-06 23:00:00+00:00,11916,3123,11682
2017-07-07 00:00:00+00:00,11259,2898,11306
2017-07-07 01:00:00+00:00,10839,2750,10917
2017-07-07 02:00:00+00:00,10765,2664,10701
2017-07-07 03:00:00+00:00,10945,2656,10616
2017-07-07 04:00:00+00:00,10668,2658,10565
2017-07-07 05:00:00+00:00,11099,2793,10682
2017-07-07 06:00:00+00:00,12290,3234,11327
2017-07-07 07:00:00+00:00,13694,3758,12238
2017-07-07 08:00:00+00:00,14395,4095,12745
2017-07-07 09:00:00+00:00,14667,4198,12920
2017-07-07 10:00:00+00:00,14862,4330,13002
2017-07-07 11:00:00+00:00,14677,4322,12844
2017-07-07 12:00:00+00:00,14619,4172,12864
2017-07-07 13:00:00+00:00,14290,4076,12869
2017-07-07 14:00:00+00:00,13916,3958,12740
2017-07-07 15:00:00+00:00,13619,3844,12609
2017-07-07 16:00:00+00:00,13481,3786,12439
2017-07-07 17:00:00+00:00,13625,3895,12343
2017-07-07 18:00:00+00:00,13286,3835,12257
2017-07-07 19:00:00+00:00,12900,3610,12190
2017-07-07 20:00:00+00:00,12553,3376,11923
2017-07-07 21:00:00+00:00,12189,3200,11772
2017-07-07 22:00:00+00:00,12002,3132,11584
2017-07-07 23:00:00+00:00,11375,2958,11283
2017-07-08 00:00:00+00:00,10810,2756,10919
2017-07-08 01:00:00+00:00,10534,2610,10576
2017-07-08 02:00:00+00:00,10347,2543,10346
2017-07-08 03:00:00+00:00,10310,2494,10270
2017-07-08 04:00:00+00:00,10072,2456,10156
2017-07-08 05:00:00+00:00,9936,2421,10077
2017-07-08 06:00:00+00:00,10093,2570,10152
2017-07-08 07:00:00+00:00,10849,2839,10474
2017-07-08 08:00:00+00:00,11601,3119,10916
2017-07-08 09:00:00+00:00,12204,3317,11493
2017-07-08 10:00:00+00:00,12522,3430,11717
2017-07-08 11:00:00+00:00,12680,3392,11685
2017-07-08 12:00:00+00:00,12642,3312,11734
2017-07-08 13:00:00+00:00,12494,3234,11619
2017-07-08 14:00:00+00:00,12153,3167,11469
2017-07-08 15:00:00+00:00,12019,3086,11435
2017-07-08 16:00:00+00:00,12322,3074,11524
2017-07-08 17:00:00+00:00,12542,3264,11481
2017-07-08 18:00:00+00:00,12365,3308,11417
2017-07-08 19:00:00+00:00,12022,3178,11366
2017-07-08 20:00:00+00:00,11748,3037,11175
2017-07-08 21:00:00+00:00,11327,2929,10958
2017-07-08 22:00:00+00:00,11143,2883,10913
2017-07-08 23:00:00+00:00,10901,2752,10891
2017-07-09 00:00:00+00:00,10505,2573,10688
2017-07-09 01:00:00+00:00,10224,2456,10438
2017-07-09 02:00:00+00:00,10062,2377,10288
2017-07-09 03:00:00+00:00,9894,2325,10238
2017-07-09 04:00:00+00:00,9637,2273,10017
2017-07-09 05:00:00+00:00,9422,2259,9930
2017-07-09 06:00:00+00:00,9514,2369,10025
2017-07-09 07:00:00+00:00,10215,2605,10256
2017-07-09 08:00:00+00:00,10936,2864,10669
2017-07-09 09:00:00+00:00,11525,3064,11131
2017-07-09 10:00:00+00:00,11973,3203,11434
2017-07-09 11:00:00+00:00,12225,3246,11540
2017-07-09 12:00:00+00:00,12347,3218,11496
2017-07-09 13:00:00+00:00,12364,3189,11498
2017-07-09 14:00:00+00:00,12155,3158,11291
2017-07-09 15:00:00+00:00,12218,3129,11283
2017-07-09 16:00:00+00:00,12025,3165,11584
2017-07-09 17:00:00+00:00,12270,3381,11466
2017-07-09 18:00:00+00:00,12302,3439,11317
2017-07-09 19:00:00+00:00,12208,3320,11373
2017-07-09 20:00:00+00:00,12138,3195,11324
2017-07-09 21:00:00+00:00,11982,3066,11296
2017-07-09 22:00:00+00:00,11922,3029,11158
2017-07-09 23:00:00+00:00,11163,2901,10877
2017-07-10 00:00:00+00:00,10633,2722,10560
2017-07-10 01:00:00+00:00,10194,2598,10192
2017-07-10 02:00:00+00:00,10155,2551,10020
2017-07-10 03:00:00+00:00,10151,2553,10022
2017-07-10 04:00:00+00:00,9980,2553,9970
2017-07-10 05:00:00+00:00,10452,2687,10082
2017-07-10 06:00:00+00:00,11694,3094,10760
2017-07-10 07:00:00+00:00,13101,3631,11548
2017-07-10 08:00:00+00:00,13788,3980,12119
2017-07-10 09:00:00+00:00,14056,4113,12447
2017-07-10 10:00:00+00:00,14168,4234,12622
2017-07-10 11:00:00+00:00,14481,4266,12576
2017-07-10 12:00:00+00:00,14323,4204,12503
2017-07-10 13:00:00+00:00,14384,4237,12424
2017-07-10 14:00:00+00:00,13964,4138,12496
2017-07-10 15:00:00+00:00,14035,3976,12430
2017-07-10 16:00:00+00:00,13810,3910,12337
2017-07-10 17:00:00+00:00,14022,4114,12204
2017-07-10 18:00:00+00:00,13828,4041,12221
2017-07-10 19:00:00+00:00,13479,3836,12229
2017-07-10 20:00:00+00:00,13184,3639,12038
2017-07-10 21:00:00+00:00,12818,3454,11828
2017-07-10 22:00:00+00:00,12378,3345,11477
2017-07-10 23:00:00+00:00,11805,3121,11123
2017-07-11 00:00:00+00:00,11200,2887,10975
2017-07-11 01:00:00+00:00,10783,2751,10746
2017-07-11 02:00:00+00:00,10721,2672,10484
2017-07-11 03:00:00+00:00,10597,2654,10458
2017-07-11 04:00:00+00:00,10327,2678,10355
2017-07-11 05:00:00+00:00,10436,2788,10340
2017-07-11 06:00:00+00:00,11496,3231,10903
2017-07-11 07:00:00+00:00,12660,3731,11721
2017-07-11 08:00:00+00:00,13502,4033,12360
2017-07-11 09:00:00+00:00,14006,4165,12636
2017-07-11 10:00:00+00:00,14162,4290,12735
2017-07-11 11:00:00+00:00,14167,4283,12807
2017-07-11 12:00:00+00:00,13958,4242,12744
2017-07-11 13:00:00+00:00,13865,4312,12476
2017-07-11 14:00:00+00:00,13762,4221,12381
2017-07-11 15:00:00+00:00,13548,4028,12330
2017-07-11 16:00:00+00:00,13308,3889,12320
2017-07-11 17:00:00+00:00,13316,4035,12309
2017-07-11 18:00:00+00:00,13065,3983,11994
2017-07-11 19:00:00+00:00,13064,3770,12031
2017-07-11 20:00:00+00:00,12826,3539,11966
2017-07-11 21:00:00+00:00,12401,3331,11753
2017-07-11 22:00:00+00:00,11981,3253,11472
2017-07-11 23:00:00+00:00,11537,3039,11251
2017-07-12 00:00:00+00:00,10756,2825,10884
2017-07-12 01:00:00+00:00,10290,2708,10534
2017-07-12 02:00:00+00:00,10115,2640,10387
2017-07-12 03:00:00+00:00,9966,2625,10255
2017-07-12 04:00:00+00:00,9691,2628,10187
2017-07-12 05:00:00+00:00,10097,2741,10259
2017-07-12 06:00:00+00:00,11430,3184,10943
2017-07-12 07:00:00+00:00,12542,3711,11772
2017-07-12 08:00:00+00:00,13246,4015,12197
2017-07-12 09:00:00+00:00,13509,4139,12520
2017-07-12 10:00:00+00:00,13774,4289,12628
2017-07-12 11:00:00+00:00,13933,4307,12650
2017-07-12 12:00:00+00:00,13960,4225,12529
2017-07-12 13:00:00+00:00,13871,4234,12517
2017-07-12 14:00:00+00:00,13530,4191,12369
2017-07-12 15:00:00+00:00,13522,4007,12230
2017-07-12 16:00:00+00:00,13448,3932,12113
2017-07-12 17:00:00+00:00,13275,4064,11869
2017-07-12 18:00:00+00:00,13192,4001,11817
2017-07-12 19:00:00+00:00,13046,3789,11906
2017-07-12 20:00:00+00:00,12605,3551,11806
2017-07-12 21:00:00+00:00,12221,3358,11663
2017-07-12 22:00:00+00:00,11936,3263,11489
2017-07-12 23:00:00+00:00,11325,3075,11313
2017-07-13 00:00:00+00:00,10919,2836,10913
2017-07-13 01:00:00+00:00,10629,2715,10647
2017-07-13 02:00:00+00:00,10504,2644,10471
2017-07-13 03:00:00+00:00,10103,2637,10368
2017-07-13 04:00:00+00:00,10027,2625,10363
2017-07-13 05:00:00+00:00,10524,2730,10493
2017-07-13 06:00:00+00:00,11888,3170,11039
2017-07-13 07:00:00+00:00,13334,3652,11775
2017-07-13 08:00:00+00:00,13540,3971,12285
2017-07-13 09:00:00+00:00,13967,4094,12531
2017-07-13 10:00:00+00:00,14180,4178,12802
2017-07-13 11:00:00+00:00,13986,4166,12745
2017-07-13 12:00:00+00:00,13809,4100,12509
2017-07-13 13:00:00+00:00,13836,4083,12471
2017-07-13 14:00:00+00:00,13704,3984,12432
2017-07-13 15:00:00+00:00,13677,3837,12395
2017-07-13 16:00:00+00:00,13578,3753,12281
2017-07-13 17:00:00+00:00,13625,3887,12190
2017-07-13 18:00:00+00:00,13341,3825,12095
2017-07-13 19:00:00+00:00,13046,3630,11997
2017-07-13 20:00:00+00:00,12736,3449,11901
2017-07-13 21:00:00+00:00,12417,3278,11725
2017-07-13 22:00:00+00:00,12403,3184,11634
2017-07-13 23:00:00+00:00,11600,3002,11425
2017-07-14 00:00:00+00:00,10774,2786,11068
2017-07-14 01:00:00+00:00,10374,2663,10747
2017-07-14 02:00:00+00:00,10365,2592,10660
2017-07-14 03:00:00+00:00,10405,2587,10613
2017-07-14 04:00:00+00:00,10135,2596,10461
2017-07-14 05:00:00+00:00,10539,2683,10530
2017-07-14 06:00:00+00:00,11831,3079,11086
2017-07-14 07:00:00+00:00,13029,3587,11780
2017-07-14 08:00:00+00:00,13553,3890,12322
2017-07-14 09:00:00+00:00,14037,3997,12741
2017-07-14 10:00:00+00:00,14208,4116,12803
2017-07-14 11:00:00+00:00,13826,4081,12643
2017-07-14 12:00:00+00:00,13774,3921,12684
2017-07-14 13:00:00+00:00,13564,3824,12523
2017-07-14 14:00:00+00:00,13068,3701,12349
2017-07-14 15:00:00+00:00,12645,3589,12189
2017-07-14 16:00:00+00:00,12735,3598,12114
2017-07-14 17:00:00+00:00,12939,3760,11902
2017-07-14 18:00:00+00:00,12665,3685,11787
2017-07-14 19:00:00+00:00,12377,3451,11779
2017-07-14 20:00:00+00:00,11923,3257,11643
2017-07-14 21:00:00+00:00,11632,3110,11562
2017-07-14 22:00:00+00:00,11557,3054,11463
2017-07-14 23:00:00+00:00,11039,2890,11334
2017-07-15 00:00:00+00:00,10544,2679,10906
2017-07-15 01:00:00+00:00,10182,2538,10662
2017-07-15 02:00:00+00:00,9974,2467,10479
2017-07-15 03:00:00+00:00,9937,2433,10417
2017-07-15 04:00:00+00:00,9688,2385,10274
2017-07-15 05:00:00+00:00,9612,2358,10166
2017-07-15 06:00:00+00:00,10024,2497,10330
2017-07-15 07:00:00+00:00,10629,2740,10484
2017-07-15 08:00:00+00:00,11419,3022,10976
2017-07-15 09:00:00+00:00,12029,3230,11407
2017-07-15 10:00:00+00:00,12207,3320,11657
2017-07-15 11:00:00+00:00,12056,3290,11641
2017-07-15 12:00:00+00:00,12078,3225,11667
2017-07-15 13:00:00+00:00,11914,3165,11464
2017-07-15 14:00:00+00:00,11685,3103,11314
2017-07-15 15:00:00+00:00,11623,3058,11325
2017-07-15 16:00:00+00:00,11776,3121,11381
2017-07-15 17:00:00+00:00,12004,3287,11421
2017-07-15 18:00:00+00:00,11890,3325,11468
2017-07-15 19:00:00+00:00,11716,3171,11324
2017-07-15 20:00:00+00:00,11463,3011,11151
2017-07-15 21:00:00+00:00,11307,2916,11091
2017-07-15 22:00:00+00:00,11064,2875,10957
2017-07-15 23:00:00+00:00,10375,2700,10835
2017-07-16 00:00:00+00:00,9757,2532,10449
2017-07-16 01:00:00+00:00,9364,2410,10171
2017-07-16 02:00:00+00:00,9219,2344,10063
2017-07-16 03:00:00+00:00,9283,2312,9937
2017-07-16 04:00:00+00:00,8893,2316,9760
2017-07-16 05:00:00+00:00,8641,2312,9675
2017-07-16 06:00:00+00:00,9220,2424,9726
2017-07-16 07:00:00+00:00,9991,2612,9832
2017-07-16 08:00:00+00:00,10386,2821,10191
2017-07-16 09:00:00+00:00,10981,3009,10525
2017-07-16 10:00:00+00:00,11369,3152,10875
2017-07-16 11:00:00+00:00,11743,3220,11033
2017-07-16 12:00:00+00:00,11771,3198,11008
2017-07-16 13:00:00+00:00,11698,3168,11021
2017-07-16 14:00:00+00:00,11798,3122,10972
2017-07-16 15:00:00+00:00,11834,3094,11066
2017-07-16 16:00:00+00:00,11984,3106,11015
2017-07-16 17:00:00+00:00,12365,3351,11066
2017-07-16 18:00:00+00:00,12295,3390,11042
2017-07-16 19:00:00+00:00,11979,3210,11001
2017-07-16 20:00:00+00:00,11633,3041,10977
2017-07-16 21:00:00+00:00,11477,2910,11067
2017-07-16 22:00:00+00:00,11207,2858,11054
2017-07-16 23:00:00+00:00,10877,2701,10861
2017-07-17 00:00:00+00:00,10185,2503,10589
2017-07-17 01:00:00+00:00,10097,2374,10416
2017-07-17 02:00:00+00:00,9985,2329,10183
2017-07-17 03:00:00+00:00,9847,2327,10038
2017-07-17 04:00:00+00:00,9569,2330,10039
2017-07-17 05:00:00+00:00,9919,2437,10030
2017-07-17 06:00:00+00:00,10891,2808,10651
2017-07-17 07:00:00+00:00,11972,3240,11550
2017-07-17 08:00:00+00:00,12688,3578,12067
2017-07-17 09:00:00+00:00,12958,3709,12285
