"Time (CET)","Day-ahead Total Load Forecast [MW] - Norway (NO)","Actual Total Load [MW] - Norway (NO)"
"13.09.2018 21:00 - 13.09.2018 22:00","13442","13941"
"13.09.2018 22:00 - 13.09.2018 23:00","12863","13358"
"13.09.2018 23:00 - 14.09.2018 00:00","12247","12630"
"14.09.2018 00:00 - 14.09.2018 01:00","11099","11977"
"14.09.2018 01:00 - 14.09.2018 02:00","10840","11663"
"14.09.2018 02:00 - 14.09.2018 03:00","10822","11573"
"14.09.2018 03:00 - 14.09.2018 04:00","10813","11554"
"14.09.2018 04:00 - 14.09.2018 05:00","10792","11587"
"14.09.2018 05:00 - 14.09.2018 06:00","11251","11843"
"14.09.2018 06:00 - 14.09.2018 07:00","12757","13230"
"14.09.2018 07:00 - 14.09.2018 08:00","13976","14326"
"14.09.2018 08:00 - 14.09.2018 09:00","14070","14543"
"14.09.2018 09:00 - 14.09.2018 10:00","14100","14434"
"14.09.2018 10:00 - 14.09.2018 11:00","14273","14560"
"14.09.2018 11:00 - 14.09.2018 12:00","13854","14321"
"14.09.2018 12:00 - 14.09.2018 13:00","13852","14213"
"14.09.2018 13:00 - 14.09.2018 14:00","13617","14013"
"14.09.2018 14:00 - 14.09.2018 15:00","13440","13980"
"14.09.2018 15:00 - 14.09.2018 16:00","13581","13769"
"14.09.2018 16:00 - 14.09.2018 17:00","13918","13917"
"14.09.2018 17:00 - 14.09.2018 18:00","13791","13791"
"14.09.2018 18:00 - 14.09.2018 19:00","13759","13758"
"14.09.2018 19:00 - 14.09.2018 20:00","13845","13845"
"14.09.2018 20:00 - 14.09.2018 21:00","13721","13720"
"14.09.2018 21:00 - 14.09.2018 22:00","12584","13313"
"14.09.2018 22:00 - 14.09.2018 23:00","11871","12803"
"14.09.2018 23:00 - 15.09.2018 00:00","11371","12238"
"15.09.2018 00:00 - 15.09.2018 01:00","11242","12084"
"15.09.2018 01:00 - 15.09.2018 02:00","10963","11783"
"15.09.2018 02:00 - 15.09.2018 03:00","10900","11535"
"15.09.2018 03:00 - 15.09.2018 04:00","10852","11497"
"15.09.2018 04:00 - 15.09.2018 05:00","10810","11611"
"15.09.2018 05:00 - 15.09.2018 06:00","10982","11657"
"15.09.2018 06:00 - 15.09.2018 07:00","10949","11847"
"15.09.2018 07:00 - 15.09.2018 08:00","11374","12204"
"15.09.2018 08:00 - 15.09.2018 09:00","12452","13014"
"15.09.2018 09:00 - 15.09.2018 10:00","13235","13440"
"15.09.2018 10:00 - 15.09.2018 11:00","13160","13586"
"15.09.2018 11:00 - 15.09.2018 12:00","12853","13419"
"15.09.2018 12:00 - 15.09.2018 13:00","12428","13179"
"15.09.2018 13:00 - 15.09.2018 14:00","12126","13066"
"15.09.2018 14:00 - 15.09.2018 15:00","11832","12885"
"15.09.2018 15:00 - 15.09.2018 16:00","11850","12830"
"15.09.2018 16:00 - 15.09.2018 17:00","12052","12824"
"15.09.2018 17:00 - 15.09.2018 18:00","12373","12882"
"15.09.2018 18:00 - 15.09.2018 19:00","12990","13119"
"15.09.2018 19:00 - 15.09.2018 20:00","13320","13319"
"15.09.2018 20:00 - 15.09.2018 21:00","13302","13301"
"15.09.2018 21:00 - 15.09.2018 22:00","12975","12976"
"15.09.2018 22:00 - 15.09.2018 23:00","12673","12672"
"15.09.2018 23:00 - 16.09.2018 00:00","12284","12321"
"16.09.2018 00:00 - 16.09.2018 01:00","12025","12025"
"16.09.2018 01:00 - 16.09.2018 02:00","11748","11743"
"16.09.2018 02:00 - 16.09.2018 03:00","11583","11582"
"16.09.2018 03:00 - 16.09.2018 04:00","11537","11537"
"16.09.2018 04:00 - 16.09.2018 05:00","11574","11574"
"16.09.2018 05:00 - 16.09.2018 06:00","11727","11727"
"16.09.2018 06:00 - 16.09.2018 07:00","11838","11837"
"16.09.2018 07:00 - 16.09.2018 08:00","11951","11950"
"16.09.2018 08:00 - 16.09.2018 09:00","12288","12289"
"16.09.2018 09:00 - 16.09.2018 10:00","12778","12779"
"16.09.2018 10:00 - 16.09.2018 11:00","13096","13096"
"16.09.2018 11:00 - 16.09.2018 12:00","13081","13081"
"16.09.2018 12:00 - 16.09.2018 13:00","13153","13153"
"16.09.2018 13:00 - 16.09.2018 14:00","13171","13171"
"16.09.2018 14:00 - 16.09.2018 15:00","13147","13146"
"16.09.2018 15:00 - 16.09.2018 16:00","13290","13290"
"16.09.2018 16:00 - 16.09.2018 17:00","13385","13385"
"16.09.2018 17:00 - 16.09.2018 18:00","13585","13585"
"16.09.2018 18:00 - 16.09.2018 19:00","13610","13609"
"16.09.2018 19:00 - 16.09.2018 20:00","13771","13771"
"16.09.2018 20:00 - 16.09.2018 21:00","13854","13854"
"16.09.2018 21:00 - 16.09.2018 22:00","13531","13530"
"16.09.2018 22:00 - 16.09.2018 23:00","12925","12924"
"16.09.2018 23:00 - 17.09.2018 00:00","12195","12269"
"17.09.2018 00:00 - 17.09.2018 01:00","10696","11703"
"17.09.2018 01:00 - 17.09.2018 02:00","10632","11434"
"17.09.2018 02:00 - 17.09.2018 03:00","10606","11455"
"17.09.2018 03:00 - 17.09.2018 04:00","10687","11385"
"17.09.2018 04:00 - 17.09.2018 05:00","10826","11564"
"17.09.2018 05:00 - 17.09.2018 06:00","11450","12022"
"17.09.2018 06:00 - 17.09.2018 07:00","13197","13197"
"17.09.2018 07:00 - 17.09.2018 08:00","14486","14486"
"17.09.2018 08:00 - 17.09.2018 09:00","14787","14908"
"17.09.2018 09:00 - 17.09.2018 10:00","14544","14686"
"17.09.2018 10:00 - 17.09.2018 11:00","14537","14537"
"17.09.2018 11:00 - 17.09.2018 12:00","14439","14439"
"17.09.2018 12:00 - 17.09.2018 13:00","14334","14335"
"17.09.2018 13:00 - 17.09.2018 14:00","14459","14459"
"17.09.2018 14:00 - 17.09.2018 15:00","14350","14351"
"17.09.2018 15:00 - 17.09.2018 16:00","14206","14206"
"17.09.2018 16:00 - 17.09.2018 17:00","14398","14397"
"17.09.2018 17:00 - 17.09.2018 18:00","14341","14342"
"17.09.2018 18:00 - 17.09.2018 19:00","14195","14196"
"17.09.2018 19:00 - 17.09.2018 20:00","14122","14123"
"17.09.2018 20:00 - 17.09.2018 21:00","14207","14207"
"17.09.2018 21:00 - 17.09.2018 22:00","13960","13960"
"17.09.2018 22:00 - 17.09.2018 23:00","13349","13348"
"17.09.2018 23:00 - 18.09.2018 00:00","12468","12609"
"18.09.2018 00:00 - 18.09.2018 01:00","12172","12172"
"18.09.2018 01:00 - 18.09.2018 02:00","11659","11659"
"18.09.2018 02:00 - 18.09.2018 03:00","11399","11400"
"18.09.2018 03:00 - 18.09.2018 04:00","11305","11304"
"18.09.2018 04:00 - 18.09.2018 05:00","11417","11417"
"18.09.2018 05:00 - 18.09.2018 06:00","11833","11832"
"18.09.2018 06:00 - 18.09.2018 07:00","13000","13015"
"18.09.2018 07:00 - 18.09.2018 08:00","14107","14107"
"18.09.2018 08:00 - 18.09.2018 09:00","14461","14461"
"18.09.2018 09:00 - 18.09.2018 10:00","14445","14445"
"18.09.2018 10:00 - 18.09.2018 11:00","14263","14262"
"18.09.2018 11:00 - 18.09.2018 12:00","14084","14085"
"18.09.2018 12:00 - 18.09.2018 13:00","13884","13883"
"18.09.2018 13:00 - 18.09.2018 14:00","13731","13731"
"18.09.2018 14:00 - 18.09.2018 15:00","13852","13852"
"18.09.2018 15:00 - 18.09.2018 16:00","13732","13733"
"18.09.2018 16:00 - 18.09.2018 17:00","13661","13661"
"18.09.2018 17:00 - 18.09.2018 18:00","13564","13564"
"18.09.2018 18:00 - 18.09.2018 19:00","13552","13552"
"18.09.2018 19:00 - 18.09.2018 20:00","13634","13634"
"18.09.2018 20:00 - 18.09.2018 21:00","13579","13579"
"18.09.2018 21:00 - 18.09.2018 22:00","13178","13178"
"18.09.2018 22:00 - 18.09.2018 23:00","12393","12393"
"18.09.2018 23:00 - 19.09.2018 00:00","11839","11827"
"19.09.2018 00:00 - 19.09.2018 01:00","11508","11507"
"19.09.2018 01:00 - 19.09.2018 02:00","11004","11004"
"19.09.2018 02:00 - 19.09.2018 03:00","11144","11144"
"19.09.2018 03:00 - 19.09.2018 04:00","11120","11121"
"19.09.2018 04:00 - 19.09.2018 05:00","11298","11298"
"19.09.2018 05:00 - 19.09.2018 06:00","11499","11498"
"19.09.2018 06:00 - 19.09.2018 07:00","12654","12655"
"19.09.2018 07:00 - 19.09.2018 08:00","13679","13678"
"19.09.2018 08:00 - 19.09.2018 09:00","13680","13679"
"19.09.2018 09:00 - 19.09.2018 10:00","13649","13649"
"19.09.2018 10:00 - 19.09.2018 11:00","13475","13474"
"19.09.2018 11:00 - 19.09.2018 12:00","13664","13664"
"19.09.2018 12:00 - 19.09.2018 13:00","13669","13669"
"19.09.2018 13:00 - 19.09.2018 14:00","13539","13539"
"19.09.2018 14:00 - 19.09.2018 15:00","13332","13332"
"19.09.2018 15:00 - 19.09.2018 16:00","13429","13429"
"19.09.2018 16:00 - 19.09.2018 17:00","13700","13700"
"19.09.2018 17:00 - 19.09.2018 18:00","13831","13830"
"19.09.2018 18:00 - 19.09.2018 19:00","14008","14008"
"19.09.2018 19:00 - 19.09.2018 20:00","13657","13995"
"19.09.2018 20:00 - 19.09.2018 21:00","13363","13819"
"19.09.2018 21:00 - 19.09.2018 22:00","12949","13475"
"19.09.2018 22:00 - 19.09.2018 23:00","12437","12868"
"19.09.2018 23:00 - 20.09.2018 00:00","11935","12064"
"20.09.2018 00:00 - 20.09.2018 01:00","11134","11816"
"20.09.2018 01:00 - 20.09.2018 02:00","11169","11612"
"20.09.2018 02:00 - 20.09.2018 03:00","10896","11236"
"20.09.2018 03:00 - 20.09.2018 04:00","10827","11196"
"20.09.2018 04:00 - 20.09.2018 05:00","10907","11400"
"20.09.2018 05:00 - 20.09.2018 06:00","11358","11916"
"20.09.2018 06:00 - 20.09.2018 07:00","12524","13009"
"20.09.2018 07:00 - 20.09.2018 08:00","13462","14080"
"20.09.2018 08:00 - 20.09.2018 09:00","14007","14284"
"20.09.2018 09:00 - 20.09.2018 10:00","14299","14294"
"20.09.2018 10:00 - 20.09.2018 11:00","14219","14214"
"20.09.2018 11:00 - 20.09.2018 12:00","14034","14029"
"20.09.2018 12:00 - 20.09.2018 13:00","13902","13897"
"20.09.2018 13:00 - 20.09.2018 14:00","13926","13921"
"20.09.2018 14:00 - 20.09.2018 15:00","13824","13818"
"20.09.2018 15:00 - 20.09.2018 16:00","13874","13869"
"20.09.2018 16:00 - 20.09.2018 17:00","13725","13915"
"20.09.2018 17:00 - 20.09.2018 18:00","13341","14007"
"20.09.2018 18:00 - 20.09.2018 19:00","13291","14015"
"20.09.2018 19:00 - 20.09.2018 20:00","13517","14252"
"20.09.2018 20:00 - 20.09.2018 21:00","13639","14345"
"20.09.2018 21:00 - 20.09.2018 22:00","13282","14035"
"20.09.2018 22:00 - 20.09.2018 23:00","12533","13364"
"20.09.2018 23:00 - 21.09.2018 00:00","11882","12778"
"21.09.2018 00:00 - 21.09.2018 01:00","11188","12138"
"21.09.2018 01:00 - 21.09.2018 02:00","10837","11643"
"21.09.2018 02:00 - 21.09.2018 03:00","10905","11580"
"21.09.2018 03:00 - 21.09.2018 04:00","10907","11533"
"21.09.2018 04:00 - 21.09.2018 05:00","10729","11619"
"21.09.2018 05:00 - 21.09.2018 06:00","11137","12021"
"21.09.2018 06:00 - 21.09.2018 07:00","12300","13243"
"21.09.2018 07:00 - 21.09.2018 08:00","13666","14638"
"21.09.2018 08:00 - 21.09.2018 09:00","13846","14892"
"21.09.2018 09:00 - 21.09.2018 10:00","13857","14793"
"21.09.2018 10:00 - 21.09.2018 11:00","13984","14788"
"21.09.2018 11:00 - 21.09.2018 12:00","13598","14574"
"21.09.2018 12:00 - 21.09.2018 13:00","13448","14340"
"21.09.2018 13:00 - 21.09.2018 14:00","13573","14388"
"21.09.2018 14:00 - 21.09.2018 15:00","13319","14501"
"21.09.2018 15:00 - 21.09.2018 16:00","13365","14322"
"21.09.2018 16:00 - 21.09.2018 17:00","13317","14047"
"21.09.2018 17:00 - 21.09.2018 18:00","12794","13584"
"21.09.2018 18:00 - 21.09.2018 19:00","13055","13842"
"21.09.2018 19:00 - 21.09.2018 20:00","13238","14086"
"21.09.2018 20:00 - 21.09.2018 21:00","13108","13855"
"21.09.2018 21:00 - 21.09.2018 22:00","12320","13605"
"21.09.2018 22:00 - 21.09.2018 23:00","11903","13037"
"21.09.2018 23:00 - 22.09.2018 00:00","11690","12551"
"22.09.2018 00:00 - 22.09.2018 01:00","11241","12174"
"22.09.2018 01:00 - 22.09.2018 02:00","11016","11841"
"22.09.2018 02:00 - 22.09.2018 03:00","11298","11800"
"22.09.2018 03:00 - 22.09.2018 04:00","11251","11756"
"22.09.2018 04:00 - 22.09.2018 05:00","11187","11884"
"22.09.2018 05:00 - 22.09.2018 06:00","11233","11878"
"22.09.2018 06:00 - 22.09.2018 07:00","11034","12128"
"22.09.2018 07:00 - 22.09.2018 08:00","11339","12428"
"22.09.2018 08:00 - 22.09.2018 09:00","11917","12942"
"22.09.2018 09:00 - 22.09.2018 10:00","12767","13611"
"22.09.2018 10:00 - 22.09.2018 11:00","12880","13859"
"22.09.2018 11:00 - 22.09.2018 12:00","12802","13916"
"22.09.2018 12:00 - 22.09.2018 13:00","12427","13672"
"22.09.2018 13:00 - 22.09.2018 14:00","12118","13444"
"22.09.2018 14:00 - 22.09.2018 15:00","12053","13128"
"22.09.2018 15:00 - 22.09.2018 16:00","11911","13026"
"22.09.2018 16:00 - 22.09.2018 17:00","11931","13211"
"22.09.2018 17:00 - 22.09.2018 18:00","12099","13338"
"22.09.2018 18:00 - 22.09.2018 19:00","12536","13477"
"22.09.2018 19:00 - 22.09.2018 20:00","12710","13579"
"22.09.2018 20:00 - 22.09.2018 21:00","12656","13448"
"22.09.2018 21:00 - 22.09.2018 22:00","12475","13204"
"22.09.2018 22:00 - 22.09.2018 23:00","12270","12762"
"22.09.2018 23:00 - 23.09.2018 00:00","11994","12300"
"23.09.2018 00:00 - 23.09.2018 01:00","12023","12136"
"23.09.2018 01:00 - 23.09.2018 02:00","11858","11857"
"23.09.2018 02:00 - 23.09.2018 03:00","11819","11819"
"23.09.2018 03:00 - 23.09.2018 04:00","11809","11808"
"23.09.2018 04:00 - 23.09.2018 05:00","11870","11870"
"23.09.2018 05:00 - 23.09.2018 06:00","11749","12032"
"23.09.2018 06:00 - 23.09.2018 07:00","11760","12131"
"23.09.2018 07:00 - 23.09.2018 08:00","11799","12317"
"23.09.2018 08:00 - 23.09.2018 09:00","12098","12818"
"23.09.2018 09:00 - 23.09.2018 10:00","12317","13173"
"23.09.2018 10:00 - 23.09.2018 11:00","12718","13611"
"23.09.2018 11:00 - 23.09.2018 12:00","12565","13625"
"23.09.2018 12:00 - 23.09.2018 13:00","12453","13565"
"23.09.2018 13:00 - 23.09.2018 14:00","12187","13451"
"23.09.2018 14:00 - 23.09.2018 15:00","12097","13400"
"23.09.2018 15:00 - 23.09.2018 16:00","12251","13391"
"23.09.2018 16:00 - 23.09.2018 17:00","12498","13378"
"23.09.2018 17:00 - 23.09.2018 18:00","12607","13444"
"23.09.2018 18:00 - 23.09.2018 19:00","12976","13673"
"23.09.2018 19:00 - 23.09.2018 20:00","13195","14068"
"23.09.2018 20:00 - 23.09.2018 21:00","13335","14266"
"23.09.2018 21:00 - 23.09.2018 22:00","13278","14078"
"23.09.2018 22:00 - 23.09.2018 23:00","12609","13629"
"23.09.2018 23:00 - 24.09.2018 00:00","12132","13123"
"24.09.2018 00:00 - 24.09.2018 01:00","11693","12680"
"24.09.2018 01:00 - 24.09.2018 02:00","11631","12442"
"24.09.2018 02:00 - 24.09.2018 03:00","11632","12447"
"24.09.2018 03:00 - 24.09.2018 04:00","11654","12520"
"24.09.2018 04:00 - 24.09.2018 05:00","11785","12691"
"24.09.2018 05:00 - 24.09.2018 06:00","12459","13331"
"24.09.2018 06:00 - 24.09.2018 07:00","13830","14499"
"24.09.2018 07:00 - 24.09.2018 08:00","15204","15860"
"24.09.2018 08:00 - 24.09.2018 09:00","15543","16140"
"24.09.2018 09:00 - 24.09.2018 10:00","15500","16052"
"24.09.2018 10:00 - 24.09.2018 11:00","15263","15951"
"24.09.2018 11:00 - 24.09.2018 12:00","14838","15485"
"24.09.2018 12:00 - 24.09.2018 13:00","14477","15175"
"24.09.2018 13:00 - 24.09.2018 14:00","14338","14978"
"24.09.2018 14:00 - 24.09.2018 15:00","14432","15126"
"24.09.2018 15:00 - 24.09.2018 16:00","14261","15062"
"24.09.2018 16:00 - 24.09.2018 17:00","14354","15145"
"24.09.2018 17:00 - 24.09.2018 18:00","14463","15095"
"24.09.2018 18:00 - 24.09.2018 19:00","14538","15090"
"24.09.2018 19:00 - 24.09.2018 20:00","14869","15472"
"24.09.2018 20:00 - 24.09.2018 21:00","14910","15579"
"24.09.2018 21:00 - 24.09.2018 22:00","14605","15239"
"24.09.2018 22:00 - 24.09.2018 23:00","13989","14800"
"24.09.2018 23:00 - 25.09.2018 00:00","13017","14053"
"25.09.2018 00:00 - 25.09.2018 01:00","12768","13465"
"25.09.2018 01:00 - 25.09.2018 02:00","12465","13238"
"25.09.2018 02:00 - 25.09.2018 03:00","12271","13168"
"25.09.2018 03:00 - 25.09.2018 04:00","12168","13234"
"25.09.2018 04:00 - 25.09.2018 05:00","12351","13296"
"25.09.2018 05:00 - 25.09.2018 06:00","13122","13914"
"25.09.2018 06:00 - 25.09.2018 07:00","14550","15417"
"25.09.2018 07:00 - 25.09.2018 08:00","15810","16621"
"25.09.2018 08:00 - 25.09.2018 09:00","16008","17013"
"25.09.2018 09:00 - 25.09.2018 10:00","15798","16342"
"25.09.2018 10:00 - 25.09.2018 11:00","15523","15980"
"25.09.2018 11:00 - 25.09.2018 12:00","15185","15642"
"25.09.2018 12:00 - 25.09.2018 13:00","14828","15400"
"25.09.2018 13:00 - 25.09.2018 14:00","14718","15391"
"25.09.2018 14:00 - 25.09.2018 15:00","14653","15264"
"25.09.2018 15:00 - 25.09.2018 16:00","14900","15365"
"25.09.2018 16:00 - 25.09.2018 17:00","14997","15401"
"25.09.2018 17:00 - 25.09.2018 18:00","14983","15358"
"25.09.2018 18:00 - 25.09.2018 19:00","14845","15358"
"25.09.2018 19:00 - 25.09.2018 20:00","14802","15386"
"25.09.2018 20:00 - 25.09.2018 21:00","14553","15187"
"25.09.2018 21:00 - 25.09.2018 22:00","13945","14936"
"25.09.2018 22:00 - 25.09.2018 23:00","13208","14348"
"25.09.2018 23:00 - 26.09.2018 00:00","12377","13594"
"26.09.2018 00:00 - 26.09.2018 01:00","12063","13025"
"26.09.2018 01:00 - 26.09.2018 02:00","11851","12694"
"26.09.2018 02:00 - 26.09.2018 03:00","11890","12534"
"26.09.2018 03:00 - 26.09.2018 04:00","11894","12557"
"26.09.2018 04:00 - 26.09.2018 05:00","11829","12427"
"26.09.2018 05:00 - 26.09.2018 06:00","12001","12854"
"26.09.2018 06:00 - 26.09.2018 07:00","12839","14042"
"26.09.2018 07:00 - 26.09.2018 08:00","14135","15276"
"26.09.2018 08:00 - 26.09.2018 09:00","14511","15234"
"26.09.2018 09:00 - 26.09.2018 10:00","14447","15072"
"26.09.2018 10:00 - 26.09.2018 11:00","14348","15012"
"26.09.2018 11:00 - 26.09.2018 12:00","14353","14611"
"26.09.2018 12:00 - 26.09.2018 13:00","14283","14655"
"26.09.2018 13:00 - 26.09.2018 14:00","14085","14653"
"26.09.2018 14:00 - 26.09.2018 15:00","14052","14449"
"26.09.2018 15:00 - 26.09.2018 16:00","14298","14373"
"26.09.2018 16:00 - 26.09.2018 17:00","14411","14513"
"26.09.2018 17:00 - 26.09.2018 18:00","14394","14458"
"26.09.2018 18:00 - 26.09.2018 19:00","14451","14490"
"26.09.2018 19:00 - 26.09.2018 20:00","14338","14866"
"26.09.2018 20:00 - 26.09.2018 21:00","14287","14841"
"26.09.2018 21:00 - 26.09.2018 22:00","14009","14451"
"26.09.2018 22:00 - 26.09.2018 23:00","13511","13820"
"26.09.2018 23:00 - 27.09.2018 00:00","12848","13206"
"27.09.2018 00:00 - 27.09.2018 01:00","12119","12608"
"27.09.2018 01:00 - 27.09.2018 02:00","12009","12423"
"27.09.2018 02:00 - 27.09.2018 03:00","11943","12320"
"27.09.2018 03:00 - 27.09.2018 04:00","11978","12402"
"27.09.2018 04:00 - 27.09.2018 05:00","11993","12526"
"27.09.2018 05:00 - 27.09.2018 06:00","12494","13048"
"27.09.2018 06:00 - 27.09.2018 07:00","13428","14335"
"27.09.2018 07:00 - 27.09.2018 08:00","14598","15738"
"27.09.2018 08:00 - 27.09.2018 09:00","14781","15990"
"27.09.2018 09:00 - 27.09.2018 10:00","14709","15923"
"27.09.2018 10:00 - 27.09.2018 11:00","14674","15754"
"27.09.2018 11:00 - 27.09.2018 12:00","14660","15745"
"27.09.2018 12:00 - 27.09.2018 13:00","14414","15611"
"27.09.2018 13:00 - 27.09.2018 14:00","14366","15645"
"27.09.2018 14:00 - 27.09.2018 15:00","14346","15447"
"27.09.2018 15:00 - 27.09.2018 16:00","14420","15515"
"27.09.2018 16:00 - 27.09.2018 17:00","14504","15779"
"27.09.2018 17:00 - 27.09.2018 18:00","14366","15680"
"27.09.2018 18:00 - 27.09.2018 19:00","14319","15598"
"27.09.2018 19:00 - 27.09.2018 20:00","14574","15871"
"27.09.2018 20:00 - 27.09.2018 21:00","14620","15904"
"27.09.2018 21:00 - 27.09.2018 22:00","14141","15415"
"27.09.2018 22:00 - 27.09.2018 23:00","13436","14905"
"27.09.2018 23:00 - 28.09.2018 00:00","12676","14246"
"28.09.2018 00:00 - 28.09.2018 01:00","12034","13557"
"28.09.2018 01:00 - 28.09.2018 02:00","11742","13199"
"28.09.2018 02:00 - 28.09.2018 03:00","11799","13184"
"28.09.2018 03:00 - 28.09.2018 04:00","11814","13238"
"28.09.2018 04:00 - 28.09.2018 05:00","11836","13223"
"28.09.2018 05:00 - 28.09.2018 06:00","12552","13937"
"28.09.2018 06:00 - 28.09.2018 07:00","13933","15203"
"28.09.2018 07:00 - 28.09.2018 08:00","15290","16575"
"28.09.2018 08:00 - 28.09.2018 09:00","15652","17016"
"28.09.2018 09:00 - 28.09.2018 10:00","15210","16617"
"28.09.2018 10:00 - 28.09.2018 11:00","15018","16356"
"28.09.2018 11:00 - 28.09.2018 12:00","14429","15847"
"28.09.2018 12:00 - 28.09.2018 13:00","14126","15481"
"28.09.2018 13:00 - 28.09.2018 14:00","13929","15351"
"28.09.2018 14:00 - 28.09.2018 15:00","13845","15270"
"28.09.2018 15:00 - 28.09.2018 16:00","13951","15181"
"28.09.2018 16:00 - 28.09.2018 17:00","14067","15119"
"28.09.2018 17:00 - 28.09.2018 18:00","13797","15021"
"28.09.2018 18:00 - 28.09.2018 19:00","14065","15366"
"28.09.2018 19:00 - 28.09.2018 20:00","14694","15869"
"28.09.2018 20:00 - 28.09.2018 21:00","14463","15619"
"28.09.2018 21:00 - 28.09.2018 22:00","13508","15215"
"28.09.2018 22:00 - 28.09.2018 23:00","13002","14813"
"28.09.2018 23:00 - 29.09.2018 00:00","12624","14365"
"29.09.2018 00:00 - 29.09.2018 01:00","12171","13829"
"29.09.2018 01:00 - 29.09.2018 02:00","11773","13360"
"29.09.2018 02:00 - 29.09.2018 03:00","11639","13061"
"29.09.2018 03:00 - 29.09.2018 04:00","11577","12989"
"29.09.2018 04:00 - 29.09.2018 05:00","11549","13015"
"29.09.2018 05:00 - 29.09.2018 06:00","11992","13160"
"29.09.2018 06:00 - 29.09.2018 07:00","12084","13306"
"29.09.2018 07:00 - 29.09.2018 08:00","12532","13696"
"29.09.2018 08:00 - 29.09.2018 09:00","13027","14165"
"29.09.2018 09:00 - 29.09.2018 10:00","13786","14742"
"29.09.2018 10:00 - 29.09.2018 11:00","14031","14989"
"29.09.2018 11:00 - 29.09.2018 12:00","14121","15016"
"29.09.2018 12:00 - 29.09.2018 13:00","13977","14973"
"29.09.2018 13:00 - 29.09.2018 14:00","13798","15015"
"29.09.2018 14:00 - 29.09.2018 15:00","13452","14627"
"29.09.2018 15:00 - 29.09.2018 16:00","13374","14530"
"29.09.2018 16:00 - 29.09.2018 17:00","13457","14658"
"29.09.2018 17:00 - 29.09.2018 18:00","13592","14835"
"29.09.2018 18:00 - 29.09.2018 19:00","13992","14973"
"29.09.2018 19:00 - 29.09.2018 20:00","14102","14994"
"29.09.2018 20:00 - 29.09.2018 21:00","13858","14646"
"29.09.2018 21:00 - 29.09.2018 22:00","13606","14279"
"29.09.2018 22:00 - 29.09.2018 23:00","13334","13849"
"29.09.2018 23:00 - 30.09.2018 00:00","12801","13380"
"30.09.2018 00:00 - 30.09.2018 01:00","13067","13066"
"30.09.2018 01:00 - 30.09.2018 02:00","12702","12702"
"30.09.2018 02:00 - 30.09.2018 03:00","12667","12666"
"30.09.2018 03:00 - 30.09.2018 04:00","12618","12619"
"30.09.2018 04:00 - 30.09.2018 05:00","12659","12659"
"30.09.2018 05:00 - 30.09.2018 06:00","12793","12792"
"30.09.2018 06:00 - 30.09.2018 07:00","12917","12917"
"30.09.2018 07:00 - 30.09.2018 08:00","12636","12955"
"30.09.2018 08:00 - 30.09.2018 09:00","12869","13235"
"30.09.2018 09:00 - 30.09.2018 10:00","12947","13665"
"30.09.2018 10:00 - 30.09.2018 11:00","12981","13858"
"30.09.2018 11:00 - 30.09.2018 12:00","12926","13967"
"30.09.2018 12:00 - 30.09.2018 13:00","12919","13842"
"30.09.2018 13:00 - 30.09.2018 14:00","12811","13824"
"30.09.2018 14:00 - 30.09.2018 15:00","12801","13862"
"30.09.2018 15:00 - 30.09.2018 16:00","12941","13813"
"30.09.2018 16:00 - 30.09.2018 17:00","12978","13637"
"30.09.2018 17:00 - 30.09.2018 18:00","13247","14104"
"30.09.2018 18:00 - 30.09.2018 19:00","13408","14322"
"30.09.2018 19:00 - 30.09.2018 20:00","13839","14815"
"30.09.2018 20:00 - 30.09.2018 21:00","13835","14605"
"30.09.2018 21:00 - 30.09.2018 22:00","13662","14593"
"30.09.2018 22:00 - 30.09.2018 23:00","13201","14083"
"30.09.2018 23:00 - 01.10.2018 00:00","12611","13548"
"01.10.2018 00:00 - 01.10.2018 01:00","12932","13051"
"01.10.2018 01:00 - 01.10.2018 02:00","12917","12918"
"01.10.2018 02:00 - 01.10.2018 03:00","12893","12893"
"01.10.2018 03:00 - 01.10.2018 04:00","13008","13008"
"01.10.2018 04:00 - 01.10.2018 05:00","13106","13106"
"01.10.2018 05:00 - 01.10.2018 06:00","13717","13717"
"01.10.2018 06:00 - 01.10.2018 07:00","15265","15265"
"01.10.2018 07:00 - 01.10.2018 08:00","16276","16276"
"01.10.2018 08:00 - 01.10.2018 09:00","16619","16619"
"01.10.2018 09:00 - 01.10.2018 10:00","16338","16338"
"01.10.2018 10:00 - 01.10.2018 11:00","16097","16097"
"01.10.2018 11:00 - 01.10.2018 12:00","15634","15633"
"01.10.2018 12:00 - 01.10.2018 13:00","15373","15373"
"01.10.2018 13:00 - 01.10.2018 14:00","15174","15174"
"01.10.2018 14:00 - 01.10.2018 15:00","15134","15134"
"01.10.2018 15:00 - 01.10.2018 16:00","15189","15189"
"01.10.2018 16:00 - 01.10.2018 17:00","15248","15248"
"01.10.2018 17:00 - 01.10.2018 18:00","15257","15257"
"01.10.2018 18:00 - 01.10.2018 19:00","15446","15446"
"01.10.2018 19:00 - 01.10.2018 20:00","15904","15905"
"01.10.2018 20:00 - 01.10.2018 21:00","15797","15797"
"01.10.2018 21:00 - 01.10.2018 22:00","15475","15476"
"01.10.2018 22:00 - 01.10.2018 23:00","14931","14931"
"01.10.2018 23:00 - 02.10.2018 00:00","13768","14306"
